sku	asin	price	quantity
21766100	B00TQQ4KBO	34.99	7
21769100	B00TQQ4KDC	99.99	14
21772100	B00TQQ4MA8	69.99	8
21773100	B00TQQ4MC6	79.99	16
21774100	B00TQQ4MAI	79.99	10
21777100	B00VM579V0	29.99	7
21778100	B00VM57LMM	49.99	11
21779100	B00VM57LMW	17.99	8
21781100	B00XHP4LXC	19.99	7
21783100	B00XHP4MV8	59.99	12
21784100	B00XHP4MCM	34.99	9
21785100	B00XHP4RH2	34.99	11
21786100	B00XHP4YIO	59.99	11
21787100	B00XHP4XPI	34.99	17
21788100	B00XWL0CDY	49.99	7
21789100	B00VFR5QFQ	24.99	9
21801100	B00VM57LBI	34.99	13
21802100	B00VM57LIG	19.99	10
21803100	B00VM57LE0	64.99	120
21809100	B00TQQ4RB2	19.99	13
21820100	B00TQQ4SU2	101.99	10
21822100	B00TQQ4SV6	135.99	4
21835100	B00TQQ4U8M	39.99	31
21836100	B00TQQ4X3Y	19.99	37
21855100	B015YF5SUC	99.99	7
21856100	B015YF5SUW	139.99	10
21857100	B015YF5T0Q	109.99	14
21858100	B015YF5SWK	129.99	11
21859100	B015YF5T06	69.99	8
21860100	B015YF5SVQ	179.99	8
21861100	B015YF5W12	89.99	8
21901100	B00TQQ4X0C	19.99	98
21902100	B00TQQ4X5C	69.99	13
21903100	B00TQQ4WZI	37.99	70
21905100	B00TQQ4WZS	89.99	6
21920100	B01D4JLOFI	54.99	7
21930100	B01D4OYJK0	79.99	10
21951100	B01D4OYJEQ	69.99	10
21952100	B01D4OYJ64	69.99	8
21954100	B01D4OYJEG	69.99	8
21955100	B01D4OYJHI	69.99	7
21988100	B01E5EKERA	69.99	11
21989100	B01E5EKEW0	69.99	11
21993100	B01DISXFWU	19.99	18
21997100	B01DISXM7I	19.99	24
22013100	B01DISY1CI	17.99	9
22014100	B01DIT0HV6	49.99	9
22015100	B01DIT0I1A	49.99	22
22016100	B01DISY1LO	69.99	9
22017100	B01DISY1KA	39.99	8
22021100	B01DISYB5U	24.99	7
22025100	B01DISYAXS	24.99	14
22034100	B01DISYOE8	19.99	21
22035100	B01DISYODO	17.99	40
22036100	B01DISYOIO	39.99	6
22037100	B01DISYO4S	24.99	8
22038100	B01DISYOY8	24.99	9
22048100	B01DISYW2M	17.99	7
22052100	B01DISYVKU	17.99	87
22055100	B01DISZ1MW	19.99	9
22071100	B01EJOYF9Y	17.99	20
22072100	B01EJOYN96	17.99	2
22074100	B01EJOYNSC	27.99	48
22078100	B01DIT0O1Y	27.99	6
22082100	B01DIT0V1M	39.99	12
22085100	B01DISZ7W6	47.99	8
22086100	B01DISZ7P8	39.99	8
22089100	B01FARHP00	59.99	8
22090100	B01FARHPY6	49.99	6
22091100	B01FHNJW58	39.99	32
22093100	B01DISZ7LW	74.99	6
22096100	B01DISZDG6	61.99	4
22098100	B01EJOYNQ4	29.99	17
22099100	B01EJOYUBC	39.99	8
22103100	B01G8TV82U	39.99	22
22104100	B01G8TV4XS	39.99	13
22106100	B01GRY5JQC	34.99	23
22107100	B01GRY5JJY	34.99	44
22108100	B01GRY5JQ2	34.99	7
22124100	B01DISZEA6	39.99	97
22151100	B01FVSDWMI	17.99	20
22152100	B01FVSDW5K	17.99	21
22155100	B01FVSDW82	59.99	9
22156100	B01FVSDWK0	59.99	19
22157100	B01FVSDXOU	59.99	15
22158100	B01D4JLO26	159.99	24
22159100	B01EJOYV02	19.99	21
22160100	B01FHNJX1Q	39.99	27
22165100	B01DIT0UPO	39.99	9
22172100	B01HXU4VTU	19.99	7
22173100	B01HXU4UZK	29.99	12
22174100	B01HXU500E	29.99	19
22175100	B01HXU4V8Q	29.99	9
22178100	B01HXU4VAY	27.99	9
22184100	B01DBCIJ4C	25.99	35
22185100	B01DBCIQSG	25.99	20
22186100	B01DISZDP2	25.99	20
22187100	B01DISZDO8	25.99	30
22188100	B01DISZE5G	25.99	37
22189100	B01D5F0UKG	24.99	19
22190100	B01D5EWWFS	24.99	23
22191100	B01DISZKRS	24.99	38
22195100	B01DISZKQY	24.99	6
22196100	B01DIT0OAU	24.99	11
22213100	B01EJOZ7KA	79.99	10
22214100	B01N74WPIW	42.99	17
22215100	B01L1J0Q98	42.99	12
22216100	B01MYML8K0	42.99	40
22217100	B01EJOZ7YQ	27.99	155
22218100	B01DVPX2OG	17.99	147
22219100	B01DVPXCOG	17.99	42
22221100	B01EJOZ7IM	29.99	10
22233100	B01DIT0OW8	29.99	6
22250100	B01DISZS1G	19.99	11
22251100	B07C5BGP8L	34.99	7
22253100	B01GRY5O58	19.99	14
22255100	B01GRY5O12	19.99	13
22256100	B01GRY5S40	19.99	8
22269100	B01DIT0I38	54.99	8
22270100	B01DIT0I56	54.99	12
22271100	B01DIT0HZC	29.99	15
22272100	B01DIT0I8S	29.99	7
22273100	B01DIT0O78	29.99	13
22277100	B01DISZRQW	29.99	11
22278100	B01DISZRX0	29.99	16
22282100	B01DSXDS3Q	19.99	6
22283100	B01DSXDRY6	27.99	6
22287100	B01DSXDVWE	34.99	19
22288100	B01DSXDW32	39.99	9
22289100	B01DSXDVXI	42.99	11
22291100	B01DSXDVYM	24.99	6
22292100	B01DSXDW82	19.99	14
22293100	B01DSXDW00	24.99	10
22294100	B01DSXE04C	34.99	11
22311100	B01DSXE042	29.99	8
22314100	B01DVPYSBC	29.99	9
22315100	B01DVPYNVW	29.99	9
22316100	B01DVPYRT0	29.99	10
22317100	B01DVPYOVQ	29.99	7
22318100	B01DVPYROU	64.99	8
22320100	B01DVPZ3D4	49.99	8
22321100	B01DVPYRSG	59.99	8
22322100	B01DVPZ3RA	29.99	8
22323100	B01DVPYSIK	49.99	7
22324100	B01DVPZ2MQ	27.99	7
22325100	B01M23VFMA	34.99	13
22340100	B01GFVKGGU	19.99	14
22341100	B01GFVKG5Q	19.99	13
22345100	B01DSXE01A	59.99	8
22362100	B07G3FFX4V	39.99	12
22368100	B071DTKBP2	34.99	10
22378100	B07B7W93ZL	39.99	15
22382100	B0713XPBDB	39.99	12
22383100	B06X973ZBN	39.99	12
22402100	B06XS8G4D2	39.99	7
22403100	B06XS7J9ZF	39.99	14
22404100	B06WVLHG22	39.99	9
22405100	B06X1GDVMF	39.99	11
22406100	B06WD95C92	39.99	7
22407100	B06WD95BQJ	39.99	12
22409100	B07237JFMH	39.99	13
22410100	B071ZC7H2R	39.99	8
22411100	B0728F52V1	44.99	16
22412100	B071P17N29	44.99	8
22413100	B071ZC79JD	44.99	19
22414100	B06XS1QKC8	29.99	11
22415100	B06XSGPQHR	29.99	8
22417100	B06W5CD2X5	49.99	13
22421100	B06X6K8DNT	17.99	8
22425100	B06WGSCG3H	17.99	10
22429100	B06VWXZH1F	17.99	14
22432100	B06XXC61FG	19.99	12
22435100	B06XWY48Y2	19.99	7
22438100	B06XX9WB3H	19.99	8
22440100	B0725T9KL1	39.99	15
22441100	B072PQMD4G	39.99	15
22448100	B06WGZ2WVF	79.99	9
22475100	B06W5CBBMV	29.99	9
22476100	B06XT3BZRV	49.99	12
22480100	B06XDDX5VH	34.99	11
22482100	B06XD94G8F	34.99	7
22492100	B06XD441Q7	24.99	9
22493100	B06XD8GQN7	34.99	27
22494100	B06XDBSH63	29.99	11
22495100	B073WJPYT8	34.99	13
22496100	B073WKB8D1	34.99	12
22497100	B073G8PHRZ	34.99	10
22506100	B06XXCJLRF	89.99	8
22507100	B06XXGRLKW	89.99	6
22509100	B06X9TGVWG	49.99	6
22510100	B06XK3YZWL	39.99	10
22511100	B06XJN1FP9	39.99	8
22512100	B06XS7KV62	34.99	106
22521100	B072HSLVMY	19.99	7
22523100	B06XX9XLWX	19.99	8
22524100	B06XXDQW2Q	27.99	11
22525100	B06XX9424V	39.99	13
22536100	B06WD88SHX	17.99	223
22539100	B06X95R2GG	17.99	14
22542100	B06W5J655Q	17.99	32
22545100	B06X6M5NFK	17.99	13
22553100	B06XSYJTY9	19.99	102
22561100	B06XXDPQWF	19.99	7
22607100	B06VW6PLZS	17.99	10
22608100	B06WD5GLXB	19.99	7
22614100	B06XSJNTZS	19.99	9
22618100	B06XT2BZPJ	19.99	8
22625100	B06XSHK2JM	21.99	12
22628100	B06XT2MJLT	21.99	10
22631100	B06WLMRX9M	24.99	7
22634100	B06XJZWPJK	19.99	7
22637100	B06W5J67HK	17.99	9
22641100	B06W5C7PZ1	17.99	11
22645100	B06XSHWWRB	17.99	12
22648100	B06XT2KFPK	17.99	10
22651100	B06W5C98H4	19.99	7
22654100	B06WRWZWK4	19.99	8
22655100	B0727VJBX5	19.99	14
22656100	B071KZV6SL	19.99	9
22663100	B0716HWCDK	19.99	11
22680100	B071LKKBBX	17.99	10
22682100	B072PQMD5V	19.99	7
22683100	B071LKKBBQ	19.99	59
22684100	B07237JFRL	24.99	14
22685100	B07172FFVT	37.99	23
22686100	B071SBLLB7	34.99	14
22689100	B071ZC7HPM	19.99	7
22690100	B072PQMD4S	59.99	14
22691100	B0725T9CXY	59.99	14
22692100	B071VZ6GMH	34.99	12
22694100	B071LKKBBF	39.99	10
22695100	B07237JFT7	29.99	35
22696100	B071LKKBCF	24.99	35
22701100	B06XXDRDYV	17.99	11
22702100	B06XSJL3SS	19.99	12
22703100	B06XRYL3PX	39.99	19
22704100	B06XSBTSHK	59.99	7
22705100	B06XSHQPY3	79.99	11
22707100	B06XSZ3WBX	39.99	10
22708100	B06XSSLFGK	59.99	25
22709100	B06XSHC2TG	79.99	11
22710100	B06XCTXZ5Q	57.99	8
22712100	B0716YY7HZ	29.99	12
22713100	B0711SLB3K	29.99	10
22716100	B06WGYNH59	64.99	8
22717100	B06WPBQT7N	89.99	9
22718100	B06XXD36LQ	69.99	12
22719100	B06XWWYG9J	84.99	17
22721100	B06XWZ6RD9	84.99	23
22723100	B06XS1BZ3J	109.99	17
22727100	B06VWGMGT8	24.99	10
22730100	B06X6JBKKV	24.99	10
22733100	B06X6JBMQP	24.99	9
22734100	B071P55YQY	29.99	8
22735100	B071RXTJR4	17.99	12
22736100	B072LDZ557	17.99	6
22744100	B0711Y63ZW	49.99	8
22745100	B0719Q48WX	44.99	8
22749100	B06WGRG9X9	24.99	17
22755100	B0711W1K2H	29.99	10
22756100	B0725T9KLS	37.99	9
22757100	B072PR2XK7	49.99	21
22758100	B07172FF4J	39.99	10
22759100	B0719MXQ8Q	37.99	8
