SKU,Qty Sold,GMV
"24218100","1","8,40 "
"69203800","21","370,41 "
"1273145500","1","12,60 "
"19125100","1","12,60 "
"22161100","8","53,71 "
"53210100","8","67,16 "
"23890100","9","98,24 "
"23975100","2","13,43 "
"24030100","1","42,01 "
"20439100","2","18,47 "
"4922011500","3","12,58 "
"24311100","7","70,53 "
"23283100","9","52,87 "
"50511100","3","12,58 "
"24326100","2","33,60 "
"2129110500","57","478,52 "
"22466100","56","752,47 "
"21294100","3","37,79 "
"23526100","5","83,99 "
"19878100","32","241,75 "
"20374100","10","83,95 "
"21654100","27","181,29 "
"23354100","3","45,35 "
"23509100","10","25,13 "
"23697100","1","15,12 "
"23692100","2","21,83 "
"20389100","3","45,35 "
"23651100","13","76,36 "
"23880100","3","75,61 "
"21718100","2","16,79 "
"50583100","2","42,00 "
"2342100","2","16,79 "
"21110100","4","18,45 "
"23869100","1","42,01 "
"81651500","4","33,58 "
"17680100","5","67,19 "
"4469010100","8","53,71 "
"22143100","37","466,07 "
"3780010100","24","100,64 "
"24013100","36","150,96 "
"22692100","19","558,66 "
"22983100","2","67,21 "
"24064100","1","5,03 "
"24466100","3","32,75 "
"22666100","1","12,60 "
"53893100","2","50,40 "
"5668010500","4","43,66 "
"23443100","1","23,52 "
"87040500","2","33,60 "
"18772100","1","15,12 "
"22179100","2","26,87 "
"88192500","198","2.494,13 "
"50295800","120","1.007,40 "
"21272100","3","37,79 "
"24105100","21","70,41 "
"20300100","91","458,06 "
"22825100","2","28,55 "
"23603100","2","13,43 "
"53954100","19","383,03 "
"22688100","29","316,56 "
"23916100","1","8,40 "
"22911100","1","5,03 "
"7881500","19","95,64 "
"54735100","186","4.687,52 "
"15818100","28","117,41 "
"69485800","2","33,60 "
"8035412500","98","410,94 "
"19940100","1","16,80 "
"22971100","7","164,65 "
"3208010100","1","21,00 "
"24290100","2","33,60 "
"80022500","2","16,77 "
"63051100","5","20,97 "
"20030100","1","16,80 "
"20416100","2","42,00 "
"23424100","3","83,17 "
"54767100","4","100,81 "
"23698100","6","151,21 "
"22424100","1","4,03 "
"69256800","4","100,81 "
"24136100","4","67,19 "
"24238100","5","126,01 "
"19216100","1","29,40 "
"24031100","9","226,82 "
"86971500","9","113,37 "
"53051100","7","47,00 "
"23964100","8","100,77 "
"16742100","30","503,95 "
"23569100","1","46,21 "
"23785100","1","10,92 "
"1035073500","28","235,06 "
"4468199500","191","1.603,45 "
"65510100","76","190,96 "
"87634500","2","25,19 "
"50260100","3","15,10 "
"23186100","1","21,00 "
"53008100","21","141,00 "
"900080100","1","84,03 "
"4478010100","1","3,35 "
"22944100","1","25,20 "
"6488030500","9","37,74 "
"87860500","2","16,79 "
"87312500","4","26,86 "
"2344100","9","60,43 "
"8296500","1","42,01 "
"21023100","1","10,92 "
"54073800","1122","22.983,84 "
"87361500","6","100,79 "
"15196100","17","21,29 "
"22268100","3","37,79 "
"795060500","2","50,40 "
"50614100","1","67,22 "
"23601100","20","167,90 "
"20648100","1","16,80 "
"23588100","3","25,19 "
"2727510500","10","109,16 "
"16739100","2","21,83 "
"38334500","3","20,14 "
"23555100","6","151,21 "
"2020040100","23","193,09 "
"20550100","4","33,58 "
"7372200100","1","6,71 "
"22423100","1","6,71 "
"23747100","36","907,26 "
"8223500","1","8,40 "
"54921100","1","84,03 "
"54079100","3","32,75 "
"18288100","2","13,43 "
"21802100","1","16,80 "
"53140100","4","168,03 "
"24139100","1","7,55 "
"20989100","5","25,17 "
"21799100","3","20,14 "
"77701500","1","25,20 "
"54083800","83","2.440,48 "
"65507100","12","403,26 "
